# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
9.070000e-01,1.761111e-01,5.982622e-01,5.982622e-01,4.237662e-01,1.761111e-01,7.075050e-02,2.842320e-02,7.075050e-02,2.842320e-02,1.637847e-02,2.440744e+05,9.421865e+05,7.733657e+05,1.015960e+06,1.103625e+06,8.519949e+05,2.311758e+05,2.109121e+05,1.579393e+04,4.469787e+03,2.243195e-04,2.214103e-04,1.423914e-04,1.156721e-02,1.862162e-02,1.755343e-01
9.160000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.160000e-01,1.512222e-01,5.934053e-01,5.934053e-01,4.918908e-01,1.512222e-01,6.148618e-02,2.500000e-02,6.148618e-02,2.500000e-02,1.270280e-02,2.440744e+05,8.269431e+05,6.617915e+05,9.007170e+05,9.920504e+05,8.758944e+05,1.808244e+05,1.565168e+05,1.360243e+04,1.070514e+04,1.931286e-04,1.929971e-04,1.505509e-04,1.334669e-02,2.098440e-02,1.805572e-01
9.160000e-01,1.574444e-01,6.003282e-01,6.003282e-01,4.741359e-01,1.574444e-01,6.292612e-02,2.514985e-02,6.292612e-02,2.514985e-02,1.322547e-02,2.440744e+05,8.627149e+05,6.902768e+05,9.364888e+05,1.020536e+06,8.689996e+05,1.935913e+05,1.712060e+05,1.339558e+04,8.989705e+03,2.027978e-04,1.998124e-04,1.459869e-04,1.283365e-02,2.087177e-02,1.885922e-01
9.160000e-01,1.636667e-01,6.009926e-01,6.009926e-01,4.723832e-01,1.636667e-01,6.530424e-02,2.605693e-02,6.530424e-02,2.605693e-02,1.374814e-02,2.440744e+05,8.910237e+05,7.180369e+05,9.647976e+05,1.048296e+06,8.821977e+05,2.069285e+05,1.844142e+05,1.395925e+04,8.555057e+03,2.104606e-04,2.069205e-04,1.497030e-04,1.237668e-02,2.019418e-02,1.835425e-01
9.160000e-01,1.698889e-01,6.016887e-01,6.016887e-01,4.705375e-01,1.698889e-01,6.766869e-02,2.695326e-02,6.766869e-02,2.695326e-02,1.427081e-02,2.440744e+05,9.194327e+05,7.457590e+05,9.932066e+05,1.076018e+06,8.950242e+05,2.207917e+05,1.982125e+05,1.453284e+04,8.046366e+03,2.181509e-04,2.140174e-04,1.532993e-04,1.195256e-02,1.956869e-02,1.789260e-01
9.160000e-01,1.761111e-01,6.024143e-01,6.024143e-01,4.686030e-01,1.761111e-01,7.001928e-02,2.783872e-02,7.001928e-02,2.783872e-02,1.479349e-02,2.440744e+05,9.479434e+05,7.734415e+05,1.021717e+06,1.103700e+06,9.074808e+05,2.351938e+05,2.126161e+05,1.511466e+04,7.462965e+03,2.258692e-04,2.211027e-04,1.567762e-04,1.155787e-02,1.898974e-02,1.746987e-01
9.250000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.512222e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.574444e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.636667e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.698889e-01,6.060862e-01,6.060862e-01,5.166515e-01,1.698889e-01,6.692161e-02,2.636140e-02,6.692161e-02,2.636140e-02,1.274183e-02,2.440744e+05,9.253338e+05,7.459053e+05,9.991077e+05,1.076164e+06,9.533013e+05,2.247383e+05,1.999315e+05,1.387234e+04,1.093450e+04,2.197391e-04,2.137031e-04,1.682468e-04,1.194327e-02,1.998482e-02,1.809572e-01
9.250000e-01,1.761111e-01,6.068018e-01,6.068018e-01,5.148904e-01,1.761111e-01,6.924659e-02,2.722769e-02,6.924659e-02,2.722769e-02,1.320850e-02,2.440744e+05,9.540337e+05,7.734830e+05,1.027808e+06,1.103742e+06,9.669843e+05,2.393686e+05,2.144254e+05,1.440600e+04,1.053719e+04,2.275087e-04,2.207600e-04,1.720941e-04,1.154929e-02,1.939359e-02,1.765483e-01
