# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine Flow (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
9.10E-01,1.58E-01,5.98E-01,5.98E-01,4.44E-01,1.58E-01,6.34E-02,2.55E-02,6.34E-02,2.55E-02,1.42E-02,2.44E+05,8.60E+05,6.91E+05,9.33E+05,1.02E+06,8.34E+05,1.92E+05,1.70E+05,1.38E+04,7.34E+03,2.02E-04,2.00E-04,1.37E-04,1.28E-02,2.06E-02,1.89E-01
9.10E-01,1.64E-01,5.98E-01,5.98E-01,4.42E-01,1.64E-01,6.58E-02,2.64E-02,6.58E-02,2.64E-02,1.47E-02,2.44E+05,8.88E+05,7.19E+05,9.62E+05,1.05E+06,8.47E+05,2.05E+05,1.84E+05,1.44E+04,6.78E+03,2.10E-04,2.07E-04,1.41E-04,1.24E-02,1.99E-02,1.84E-01
9.10E-01,1.70E-01,5.99E-01,5.99E-01,4.41E-01,1.70E-01,6.82E-02,2.74E-02,6.82E-02,2.74E-02,1.53E-02,2.44E+05,9.17E+05,7.47E+05,9.90E+05,1.08E+06,8.59E+05,2.19E+05,1.98E+05,1.50E+04,6.14E+03,2.17E-04,2.14E-04,1.44E-04,1.19E-02,1.93E-02,1.79E-01
9.10E-01,1.76E-01,6.05E-01,6.05E-01,4.24E-01,1.76E-01,6.97E-02,2.76E-02,6.97E-02,2.76E-02,1.59E-02,2.44E+05,9.52E+05,7.75E+05,1.03E+06,1.10E+06,8.51E+05,2.33E+05,2.14E+05,1.48E+04,4.21E+03,2.27E-04,2.21E-04,1.40E-04,1.15E-02,1.92E-02,1.87E-01
9.20E-01,1.45E-01,6.01E-01,6.01E-01,4.97E-01,1.45E-01,5.78E-02,2.31E-02,5.78E-02,2.31E-02,1.16E-02,2.44E+05,8.09E+05,6.35E+05,8.82E+05,9.65E+05,8.65E+05,1.70E+05,1.47E+05,1.21E+04,1.06E+04,1.88E-04,1.85E-04,1.44E-04,1.39E-02,2.26E-02,2.01E-01
9.20E-01,1.51E-01,6.02E-01,6.02E-01,4.96E-01,1.51E-01,6.03E-02,2.40E-02,6.03E-02,2.40E-02,1.21E-02,2.44E+05,8.37E+05,6.63E+05,9.11E+05,9.93E+05,8.79E+05,1.82E+05,1.59E+05,1.26E+04,1.04E+04,1.96E-04,1.93E-04,1.48E-04,1.33E-02,2.18E-02,1.95E-01
9.20E-01,1.58E-01,6.02E-01,6.02E-01,4.94E-01,1.58E-01,6.27E-02,2.49E-02,6.27E-02,2.49E-02,1.26E-02,2.44E+05,8.66E+05,6.91E+05,9.39E+05,1.02E+06,8.93E+05,1.95E+05,1.72E+05,1.32E+04,1.01E+04,2.04E-04,2.00E-04,1.52E-04,1.28E-02,2.11E-02,1.89E-01
9.20E-01,1.64E-01,6.03E-01,6.03E-01,4.93E-01,1.64E-01,6.51E-02,2.58E-02,6.51E-02,2.58E-02,1.31E-02,2.44E+05,8.94E+05,7.19E+05,9.68E+05,1.05E+06,9.07E+05,2.09E+05,1.85E+05,1.37E+04,9.74E+03,2.11E-04,2.07E-04,1.56E-04,1.24E-02,2.04E-02,1.84E-01
9.20E-01,1.70E-01,6.04E-01,6.04E-01,4.91E-01,1.70E-01,6.74E-02,2.67E-02,6.74E-02,2.67E-02,1.36E-02,2.44E+05,9.23E+05,7.47E+05,9.97E+05,1.08E+06,9.21E+05,2.23E+05,1.99E+05,1.43E+04,9.30E+03,2.19E-04,2.14E-04,1.60E-04,1.19E-02,1.97E-02,1.79E-01
9.20E-01,1.76E-01,6.05E-01,6.05E-01,4.88E-01,1.76E-01,6.97E-02,2.76E-02,6.97E-02,2.76E-02,1.41E-02,2.44E+05,9.52E+05,7.75E+05,1.03E+06,1.10E+06,9.33E+05,2.38E+05,2.14E+05,1.48E+04,8.70E+03,2.27E-04,2.21E-04,1.63E-04,1.15E-02,1.92E-02,1.76E-01
