# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
9.200000e-01,1.574444e-01,6.015206e-01,6.015206e-01,4.961750e-01,1.574444e-01,6.273838e-02,2.500000e-02,6.273838e-02,2.500000e-02,1.259570e-02,2.440744e+05,8.642043e+05,6.903746e+05,9.379782e+05,1.020634e+06,8.956835e+05,1.951281e+05,1.716215e+05,1.324117e+04,1.026545e+04,2.031984e-04,1.997442e-04,1.531784e-04,1.283058e-02,2.098991e-02,1.876998e-01
9.200000e-01,1.636667e-01,6.029185e-01,6.029185e-01,4.926214e-01,1.636667e-01,6.498902e-02,2.580599e-02,6.498902e-02,2.580599e-02,1.309348e-02,2.440744e+05,8.935185e+05,7.181499e+05,9.672924e+05,1.048409e+06,9.069742e+05,2.085609e+05,1.851254e+05,1.368991e+04,9.745595e+03,2.111318e-04,2.067974e-04,1.560460e-04,1.237212e-02,2.037979e-02,1.841651e-01
9.200000e-01,1.698889e-01,6.036100e-01,6.036100e-01,4.908496e-01,1.698889e-01,6.734227e-02,2.669386e-02,6.734227e-02,2.669386e-02,1.359126e-02,2.440744e+05,9.220101e+05,7.458272e+05,9.957840e+05,1.076086e+06,9.203458e+05,2.225228e+05,1.989625e+05,1.424316e+04,9.317151e+03,2.188446e-04,2.138821e-04,1.598076e-04,1.194833e-02,1.974852e-02,1.794724e-01
9.200000e-01,1.761111e-01,6.043324e-01,6.043324e-01,4.889888e-01,1.761111e-01,6.968148e-02,2.757076e-02,6.968148e-02,2.757076e-02,1.408905e-02,2.440744e+05,9.506050e+05,7.734644e+05,1.024379e+06,1.103723e+06,9.333459e+05,2.370258e+05,2.134060e+05,1.480367e+04,8.816114e+03,2.265857e-04,2.209551e-04,1.634482e-04,1.155395e-02,1.916437e-02,1.751738e-01
9.300000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.300000e-01,1.512222e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.300000e-01,1.574444e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.300000e-01,1.636667e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.300000e-01,1.698889e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.300000e-01,1.761111e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
